OBJECTID,Property_Name,Address_1,City,Postal_Code,Property_GFA_M_Sq,Primary_Property_Type,Electricity_Use_Grid_Purchase_k,Natural_Gas_Use_GJ,Propane_Use_GJ,District_Hot_Water_Use_GJ,District_Chilled_Water_Use_GJ,Total_GHG_Emissions_Metric_Tons,Total_GHG_Emissions_Intensity_k,Direct_GHG_Emissions_Metric_Ton,Direct_GHG_Emissions_Intensity_,Indirect_GHG_Emissions_Metric_T,Indirect_GHG_Emissions_Intensit,Site_EUI_GJ_m_,Year_Ending
1366,Central Utilities Plant (Sold to HCE 2016),121 KING STREET WEST,Hamilton,L8P 4T7,1600.5,Energy/Power Station,5609334.7,34,Not Available,Not Available,Not Available,164.4,102.7,1.7,1.1,162.7,101.6,12.64,2019/12/31 00:00:00+00
1367,Central Utilities Plant (Sold to HCE 2016),121 KING STREET WEST,Hamilton,L8P 4T7,1600.5,Energy/Power Station,498848.9,66.3,Not Available,Not Available,Not Available,17.3,10.8,3.3,2.1,14,8.7,1.16,2020/12/31 00:00:00+00
1368,Central Utilities Plant (Sold to HCE 2016),121 KING STREET WEST,Hamilton,L8P 4T7,1600.5,Energy/Power Station,1841058.9,21.4,Not Available,Not Available,Not Available,52.6,32.9,1.1,0.7,51.5,32.2,4.15,2021/12/31 00:00:00+00
1369,Central Utilities Plant (Sold to HCE 2016),121 KING STREET WEST,Hamilton,L8P 4T7,1600.5,Energy/Power Station,2834679.3,28.5,Not Available,Not Available,Not Available,80.8,50.5,1.4,0.9,79.4,49.6,6.39,2022/12/31 00:00:00+00
1370,Central Utilities Plant (Sold to HCE 2016),121 KING STREET WEST,Hamilton,L8P 4T7,1600.5,Energy/Power Station,3192260.1108002,28.3,Not Available,Not Available,Not Available,90.8,306.5,1.4,0.9,89.4,305.7,39.31,2023/12/31 00:00:00+00
1371,Centre Road Yard,1255 Centre Rd,Waterdown,L0R 1H1,514.4,Other - Public Services,13611.5,Not Available,Not Available,Not Available,Not Available,0.4,0.8,0,0,0.4,0.8,0.1,2019/12/31 00:00:00+00
1372,Centre Road Yard,1255 Centre Rd,Waterdown,L0R 1H1,514.4,Other - Public Services,8767,Not Available,Not Available,Not Available,Not Available,0.2,0.5,0,0,0.2,0.5,0.06,2020/12/31 00:00:00+00
1373,Centre Road Yard,1255 Centre Rd,Waterdown,L0R 1H1,514.4,Other - Public Services,5251,Not Available,Not Available,Not Available,Not Available,0.1,0.3,0,0,0.1,0.3,0.04,2021/12/31 00:00:00+00
1374,Centre Road Yard,1255 Centre Rd,Waterdown,L0R 1H1,514.4,Other - Public Services,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,2022/12/31 00:00:00+00
1375,Centre Road Yard,1255 Centre Rd,Waterdown,L0R 1H1,514.4,Other - Public Services,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,2023/12/31 00:00:00+00
