OBJECTID,FACILITY_NUMBER,FACILITY_TYPE,COMMUNITY,WARD,COFA_ECA,GLOBALID,Shape__Area,Shape__Length
106,1,Dry Pond,Ancaster,14,,4c916ff9-b6ed-49d9-85ab-f01c36bdee24,1237.79052734375,142.714440938695
107,13,Dry Pond,Ancaster,12,,32599145-50d7-4334-b021-61cf55a22b70,5034.83325195312,507.108603632249
108,2,Dry Pond,Ancaster,12,,b392e935-82c0-4efd-9659-7872f13f6e94,500.859619140625,107.142288363405
109,19,Dry Pond,Ancaster,12,,31e44c23-6e09-45c0-a327-81ae8fcac887,1040.76953125,208.409371214674
110,22,Dry Pond,Ancaster,12,3-0889-97-006,cec204e1-f9dc-4d8b-a6d4-ad7edc277d5b,506.148681640625,115.498974548837
111,6,Dry Pond,Ancaster,12,,bd21ed39-28b0-487a-b4e0-d40d39340d78,19928.4501953125,553.852530389481
112,23,Wet Pond,Ancaster,12,0327-4TKQUH,83f88619-e949-4ed3-a2bb-eecb7cb26d40,6035.06787109375,356.130930877314
113,127,Wet Pond,Flamborough,15,0488-7UMH8Q,4ba27236-4dfa-421a-82e0-e4bf2777506b,7602.8271484375,378.985030059783
114,129,Dry Pond,Hamilton,7,2967-84XPLS,33272cda-b288-4bc2-a390-d4b29742b4fb,4155.87866210938,296.910651965331
115,153,Dry Pond,Ancaster,12,NO PERMIT ISSUED,e45f1229-73e2-4a3a-ad90-05b60442bca8,2388.45336914062,256.459964333689
116,166,Wet Pond,Hamilton,4,,9b89b0be-e214-4ef0-8b96-922f95b10633,10984.6254882812,946.041219192814
117,5E,Wet Pond,Ancaster,12,9195-6FBJLM,41e77ad9-cfcf-4cb3-9238-babfca7e3d36,40092.080078125,1208.19055323432
118,66,Wetland,Stoney Creek,10,7576-4L8QBX,505c4099-1200-4482-921c-bf42efb8614b,12642.8786621094,537.035428235043
119,178,Wet Pond,Flamborough,15,8001-8WJPUP,3e3b1731-39fd-4ea2-aae1-4264fe81f726,10058.6499023438,428.590409780351
120,48,Dry Pond,Flamborough,15,,eecb5e43-71ac-45f3-b5de-d5cbd153c0b5,9847.84790039062,821.707840329171
121,107,Dry Pond,Stoney Creek,9,,16fee4d5-3423-4f95-a40e-386e2fd42fa6,13035.703125,597.739834965975
122,137,Wet Pond,Ancaster,12,1323-82GL59,1b4a423b-1683-4025-b1f1-37d9c9008a55,18389.845703125,734.526588467461
123,123,Wet Pond,Hamilton,6,7050-632GW6,b1a5e961-39c2-40a0-bbef-93332783d834,6318.38989257812,382.099595902173
124,26,Dry Pond,Dundas,13,3-1271-86-957,9d782379-67c5-43a9-b1a3-3e5e2c350b35,32707.9614257812,935.500085059645
125,219,Dry Pond,Hamilton,3,,a7ca5462-ffa1-4144-944b-20919808c285,14468.69140625,670.897895232863
126,16,Dry Pond,Ancaster,12,,8315a16c-cd2a-464c-a52d-d8d1164c4b86,2987.19555664062,287.039901643804
127,9,Dry Pond,Ancaster,12,3-1449-96-976,4954273c-397d-4e46-a8e9-a288ab2cf0c6,6174.6240234375,515.421955029238
128,15,Dry Pond,Ancaster,12,3-0094-98-006,d9659379-a39a-4555-b227-3490596b847b,7963.12158203125,390.240126308966
129,205,Natural Pond,Hamilton,8,,4d11e465-078e-4494-b877-3f4d05a88212,3321.0126953125,244.643369889947
130,238,Wet Pond,Hamilton,3,,2536a04b-0a6c-4339-8a5d-b370224befb4,2329.51025390625,217.381940771425
131,10,Dry Pond,Ancaster,12,,e283988d-8566-45ca-a79b-e7b597dc3da8,565.1982421875,96.0161289873341
132,3,Dry Pond,Ancaster,12,,2f4e31f1-7f4f-46d1-926d-4bba2bc60e0e,4050.078125,280.705853681456
133,140,Wet Pond,Stoney Creek,9,4578-7B3K2G,6b88947f-aaa2-4ec5-9510-0ff4d6c40b20,16524.6743164062,566.371146288647
134,141,Wet Pond,Flamborough,15,2937-9VYRLQ,16b177d5-19d1-4e10-881b-706f6cb30dbc,10199.2470703125,480.670974432508
135,147,Wet Pond,Glanbrook,9,0548-8VDP7K,b6598725-8a81-44b2-a5cc-9e97c5e9306e,13937.7712402344,633.281643500305
136,124,Wet Pond,Ancaster,12,6240-7XWSLE,231d12e3-ac4d-4f20-ad07-3167c9e99c40,12102.7595214844,549.269208966947
137,85,Dry Pond,Hamilton,7,,e329dee6-f67f-4e8e-b78e-564a2f551d9b,5982.31616210938,493.917098448248
138,220,Wet Pond,Hamilton,8, 6170-ADBRAA,10e9b8c1-d6dc-4218-af7b-aafab827d882,42115.3903808594,1370.39082154116
139,236,Dry Pond,Dundas,13,,6b09242e-0f26-46d3-9738-32b0ec970220,1147.0849609375,154.305334758038
140,237,Dry Pond,Hamilton,14,,4bfe6f91-f5d6-4524-8f15-229a298745dc,9586.90869140625,396.671320239521
141,5W,Wet Pond,Ancaster,12,9195-6FBJLM,7ac855fd-8194-434d-8a9a-dd72260685fd,4880.43481445312,302.032674750801
142,212,Natural Pond,Hamilton,8,,c8c176b4-2118-44eb-85a8-24caadd47db0,2538.318359375,216.028138204708
143,201,Natural Pond,Hamilton,8,,11210ed1-a0ae-433a-a535-9e4fa78eed2c,2307.40698242188,179.542686824327
