X,Y,OBJECTID,POLLUTANT_NAME,CONCENTRATION,UNIT,START_DATE,END_DATE,LONGITUDE,LATITUDE,SE_ANNO_CAD_DATA
590732.4682,4799786.0274,1044,SO2,0.02000126025273,ppb,2023/03/02 05:00:00+00,2023/03/15 04:00:00+00,-79.88054467,43.34544992,
583975.5413,4786575.5789,1045,SO2,0.84137269682652,ppb,2023/03/02 05:00:00+00,2023/03/15 04:00:00+00,-79.96591446,43.22729961,
591704.2428,4788810.6394,1046,SO2,3.15208339096995,ppb,2023/03/02 05:00:00+00,2023/03/15 04:00:00+00,-79.87038793,43.24652199,
598382.4139,4788361.5488,1047,SO2,4.21290424111588,ppb,2023/03/03 05:00:00+00,2023/03/16 04:00:00+00,-79.78822386,43.24163717,
592302.1131,4790127.5198,1048,SO2,3.15640566931767,ppb,2023/03/02 05:00:00+00,2023/03/15 04:00:00+00,-79.86280419,43.2583048,
588363.0256,4788426.4551,1049,SO2,2.22640068887151,ppb,2023/04/07 04:00:00+00,2023/04/21 04:00:00+00,-79.91159918,43.24346213,
578768.57,4805355.2316,1050,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-80.02733152,43.39694006,
590454.7523,4786961.5491,1051,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/21 04:00:00+00,-79.8860796,43.23002555,
602139.6751,4786082.209,1052,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/20 04:00:00+00,-79.74237846,43.22061777,
593205.8633,4784604.3781,1053,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/20 04:00:00+00,-79.85260519,43.20846922,
597787.0243,4787696.2788,1054,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.79567366,43.23572537,
599296.7645,4788804.5694,1055,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.77688451,43.24550569,
598988.3868,4792138.5669,1056,SO2,6.14796316941544,ppb,2023/04/07 04:00:00+00,2023/04/20 04:00:00+00,-79.780083,43.275561,
